"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-10","0.70",,"92","73","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-11","0.48",,"91","74","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-12","0.00",,"90","73",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-13","1.62",,"88","72","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-14","0.30",,"89","73","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-15","0.00",,"91","73",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-16","0.00",,"90","70",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-17","0.00",,"92","71",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-18","0.05",,"87","73","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-19","0.01",,"87","73",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-20","0.00",,"93","72",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-21","0.15",,"92","77",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-22","0.00",,"91","75",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-23","0.00",,"92","74",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-24","0.00",,"94","79",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-25","0.00",,"96","79",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-26","0.00",,"95","78",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-27","0.00",,"96","76",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-28","0.27",,"93","77",,,"    1","    1"
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-29","0.00",,"95","77",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-06-30","0.00",,"92","78",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-01","0.00",,"93","78",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-02","0.00",,"92","78",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-03","0.05",,"92","79",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-04","0.00",,"92","78","    1",,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-05","0.03",,"92","77","    1",,"    1","    1"
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-06","0.01",,"91","76","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-07","0.00",,"93","76",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-08","0.00",,"94","77",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-09","0.00",,"94","78",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-10","0.00",,"94","82",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-11","0.00",,"92","81",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-12","0.00",,"91","78",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-13","0.05",,"93","78","    1",,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-14","0.04",,"92","78","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-15","0.12",,"96","75","    1",,"    1","    1"
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-16","0.03",,"92","74",,,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-17","0.20",,"89","75","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-18","0.00",,"91","74",,,,
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-19","0.01",,"93","76",,,"    1","    1"
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-20","0.34",,"93","73","    1",,"    1",
"USW00012835","FORT MYERS PAGE FIELD AIRPORT, FL US","2020-07-21","0.26",,"90","73","    1",,"    1","    1"
